,Age,DOB,Debuted,From,Height,Name,Weight,link
355,28 years,03/28/1991,2015,Tennessee,6 ft5 in/1.96m, Jordan McRae ,179 lbs/81.2kg,https://www.nba.com/players/jordan/mcrae/203895
356,31 years,08/21/1987,2009,Kentucky,6 ft4 in/1.93m, Jodie Meeks ,210 lbs/95.3kg,https://www.nba.com/players/jodie/meeks/201975
357,33 years,06/15/1986,2015,,7 ft2 in/2.18m, Salah Mejri ,235 lbs/106.6kg,https://www.nba.com/players/salah/mejri/1626257
358,21 years,05/28/1998,2018,University of Southern California,6 ft4 in/1.93m, De'Anthony Melton ,200 lbs/90.7kg,https://www.nba.com/players/de'anthony/melton/1629001
359,22 years,03/22/1997,2018,University of Southern California,6 ft10 in/2.08m, Chimezie Metu ,225 lbs/102.1kg,https://www.nba.com/players/chimezie/metu/1629002
360,27 years,08-12-1991,2012,Texas A&M,6 ft8 in/2.03m, Khris Middleton ,222 lbs/100.7kg,https://www.nba.com/players/khris/middleton/203114
361,32 years,03/18/1987,2005,No College,6 ft6 in/1.98m, CJ Miles ,220 lbs/99.8kg,https://www.nba.com/players/cj/miles/101139
362,29 years,03/21/1990,2012,Kentucky,6 ft8 in/2.03m, Darius Miller ,225 lbs/102.1kg,https://www.nba.com/players/darius/miller/203121
363,26 years,03-06-1993,2017,Holy Cross,6 ft7 in/2.01m, Malcolm Miller ,210 lbs/95.3kg,https://www.nba.com/players/malcolm/miller/1626259
364,34 years,02-10-1985,2006,Louisiana Tech,6 ft8 in/2.03m, Paul Millsap ,246 lbs/111.6kg,https://www.nba.com/players/paul/millsap/200794
365,30 years,08-11-1988,2009,St. Mary's (CA),6 ft0 in/1.83m, Patty Mills ,180 lbs/81.6kg,https://www.nba.com/players/patty/mills/201988
366,22 years,09/26/1996,2018,Southern Methodist University,6 ft6 in/1.98m, Shake Milton ,207 lbs/93.9kg,https://www.nba.com/players/shake/milton/1629003
367,28 years,02-11-1991,2014,,6 ft10 in/2.08m, Nikola Mirotic ,250 lbs/113.4kg,https://www.nba.com/players/nikola/mirotic/202703
368,22 years,09-07-1996,2017,Louisville,6 ft3 in/1.9m, Donovan Mitchell ,215 lbs/97.5kg,https://www.nba.com/players/donovan/mitchell/1628378
369,25 years,08-03-1993,2017,Iowa State,6 ft4 in/1.93m, Naz Mitrou-Long ,218 lbs/98.9kg,https://www.nba.com/players/naz/mitrou-long/1628513
370,21 years,07/18/1998,—,,6 ft5 in/1.96m, Adam Mokoka ,210 lbs/95.3kg,https://www.nba.com/players/adam/mokoka/1629690
371,21 years,02-04-1998,2017,Kentucky,6 ft3 in/1.9m, Malik Monk ,200 lbs/90.7kg,https://www.nba.com/players/malik/monk/1628370
372,29 years,06-04-1990,2010,Georgetown,6 ft11 in/2.11m, Greg Monroe ,265 lbs/120.2kg,https://www.nba.com/players/greg/monroe/202328
373,24 years,05/13/1995,2017,Southern Methodist,6 ft8 in/2.03m, Ben Moore ,220 lbs/99.8kg,https://www.nba.com/players/ben/moore/1628500
374,30 years,02/25/1989,2011,Purdue,6 ft4 in/1.93m, E'Twaun Moore ,191 lbs/86.6kg,https://www.nba.com/players/e'twaun/moore/202734
375,19 years,08-10-1999,—,Murray State University,6 ft3 in/1.9m, Ja Morant ,175 lbs/79.4kg,https://www.nba.com/players/ja/morant/1629630
376,27 years,12/24/1991,2014,Oregon State,6 ft10 in/2.08m, Eric Moreland ,238 lbs/108.0kg,https://www.nba.com/players/eric/moreland/203961
377,29 years,09-02-1989,2011,Kansas,6 ft9 in/2.06m, Marcus Morris ,235 lbs/106.6kg,https://www.nba.com/players/marcus/morris/202694
378,29 years,09-02-1989,2011,Kansas,6 ft10 in/2.08m, Markieff Morris ,245 lbs/111.1kg,https://www.nba.com/players/markieff/morris/202693
379,24 years,06/27/1995,2017,Iowa State,6 ft3 in/1.9m, Monte Morris ,175 lbs/79.4kg,https://www.nba.com/players/monte/morris/1628420
380,28 years,09/20/1990,2012,Lithuania,7 ft0 in/2.13m, Donatas Motiejunas ,220 lbs/99.8kg,https://www.nba.com/players/donatas/motiejunas/202700
381,24 years,05-04-1995,2017,Baylor,6 ft10 in/2.08m, Johnathan Motley ,230 lbs/104.3kg,https://www.nba.com/players/johnathan/motley/1628405
382,33 years,07/16/1986,2010,,7 ft1 in/2.16m, Timofey Mozgov ,275 lbs/124.7kg,https://www.nba.com/players/timofey/mozgov/202389
383,23 years,03-05-1996,2015,,6 ft5 in/1.96m, Emmanuel Mudiay ,200 lbs/90.7kg,https://www.nba.com/players/emmanuel/mudiay/1626144
384,22 years,09/19/1996,2016,Washington,6 ft5 in/1.96m, Dejounte Murray ,170 lbs/77.1kg,https://www.nba.com/players/dejounte/murray/1627749
385,22 years,02/23/1997,2016,Kentucky,6 ft4 in/1.93m, Jamal Murray ,207 lbs/93.9kg,https://www.nba.com/players/jamal/murray/1627750
386,20 years,05-08-1999,2018,,6 ft9 in/2.06m, Dzanan Musa ,208 lbs/94.3kg,https://www.nba.com/players/dzanan/musa/1629058
387,28 years,07-01-1991,2013,Bucknell,6 ft11 in/2.11m, Mike Muscala ,240 lbs/108.9kg,https://www.nba.com/players/mike/muscala/203488
388,22 years,06-10-1997,2018,University of Kansas,6 ft8 in/2.03m, Svi Mykhailiuk ,205 lbs/93.0kg,https://www.nba.com/players/svi/mykhailiuk/1629004
389,25 years,09/25/1993,2017,Iowa State,6 ft6 in/1.98m, Abdel Nader ,225 lbs/102.1kg,https://www.nba.com/players/abdel/nader/1627846
390,26 years,01-01-1993,2015,Wyoming,6 ft9 in/2.06m, Larry Nance Jr. ,230 lbs/104.3kg,https://www.nba.com/players/larry/nance_jr./1626204
391,28 years,07/14/1991,2014,Connecticut,6 ft1 in/1.85m, Shabazz Napier ,180 lbs/81.6kg,https://www.nba.com/players/shabazz/napier/203894
392,36 years,09/13/1982,2002,,6 ft11 in/2.11m, Nene  ,250 lbs/113.4kg,https://www.nba.com/players/nene/2403
393,27 years,05/19/1992,2015,,6 ft1 in/1.85m, Raul Neto ,179 lbs/81.2kg,https://www.nba.com/players/raul/neto/203526
394,26 years,06/17/1993,2016,Iowa State,6 ft8 in/2.03m, Georges Niang ,230 lbs/104.3kg,https://www.nba.com/players/georges/niang/1627777
395,34 years,02/25/1985,2007,Florida,6 ft11 in/2.11m, Joakim Noah ,230 lbs/104.3kg,https://www.nba.com/players/joakim/noah/201149
396,25 years,04-10-1994,2014,Kentucky,6 ft11 in/2.11m, Nerlens Noel ,220 lbs/99.8kg,https://www.nba.com/players/nerlens/noel/203457
397,21 years,12-09-1997,—,Gonzaga University,6 ft5 in/1.96m, Zach Norvell Jr. ,206 lbs/93.4kg,https://www.nba.com/players/zach/norvell_jr./1629668
398,20 years,07-09-1999,—,University of Washington,6 ft4 in/1.93m, Jaylen Nowell ,202 lbs/91.6kg,https://www.nba.com/players/jaylen/nowell/1629669
399,20 years,07/28/1998,2017,,6 ft6 in/1.98m, Frank Ntilikina ,200 lbs/90.7kg,https://www.nba.com/players/frank/ntilikina/1628373
400,23 years,08-03-1995,—,Oakland University,6 ft3 in/1.9m, Kendrick Nunn ,195 lbs/88.5kg,https://www.nba.com/players/kendrick/nunn/1629134
401,24 years,08/23/1994,2014,,7 ft0 in/2.13m, Jusuf Nurkic ,275 lbs/124.7kg,https://www.nba.com/players/jusuf/nurkic/203994
402,26 years,01/14/1993,2016,Cal Poly-Obispo,6 ft4 in/1.93m, David Nwaba ,219 lbs/99.3kg,https://www.nba.com/players/david/nwaba/1628021
403,26 years,06-05-1993,2017,Baylor,6 ft6 in/1.98m, Royce O'Neale ,226 lbs/102.5kg,https://www.nba.com/players/royce/o'neale/1626220
404,29 years,03/26/1990,2012,Norfolk State,6 ft10 in/2.08m, Kyle O'Quinn ,250 lbs/113.4kg,https://www.nba.com/players/kyle/o'quinn/203124
405,24 years,12-05-1994,2017,Southern Methodist,6 ft7 in/2.01m, Semi Ojeleye ,241 lbs/109.3kg,https://www.nba.com/players/semi/ojeleye/1628400
406,23 years,12/15/1995,2015,Duke,6 ft11 in/2.11m, Jahlil Okafor ,275 lbs/124.7kg,https://www.nba.com/players/jahlil/okafor/1626143
407,20 years,08/18/1998,—,Auburn University,6 ft8 in/2.03m, Chuma Okeke ,230 lbs/104.3kg,https://www.nba.com/players/chuma/okeke/1629643
408,21 years,10/23/1997,2018,,6 ft3 in/1.9m, Elie Okobo ,190 lbs/86.2kg,https://www.nba.com/players/elie/okobo/1629059
409,20 years,09-01-1998,2018,Georgia Institute of Technology,6 ft4 in/1.93m, Josh Okogie ,212 lbs/96.2kg,https://www.nba.com/players/josh/okogie/1629006
410,20 years,04/28/1999,—,Stanford University,6 ft9 in/2.06m, KZ Okpala ,210 lbs/95.3kg,https://www.nba.com/players/kz/okpala/1629644
411,27 years,05-04-1992,2013,Indiana,6 ft4 in/1.93m, Victor Oladipo ,210 lbs/95.3kg,https://www.nba.com/players/victor/oladipo/203506
412,28 years,04/19/1991,2013,Gonzaga,7 ft0 in/2.13m, Kelly Olynyk ,240 lbs/108.9kg,https://www.nba.com/players/kelly/olynyk/203482
413,21 years,08-04-1997,—,Yale University,6 ft6 in/1.98m, Miye Oni ,206 lbs/93.4kg,https://www.nba.com/players/miye/oni/1629671
414,24 years,04-08-1995,2017,,6 ft8 in/2.03m, Cedi Osman ,215 lbs/97.5kg,https://www.nba.com/players/cedi/osman/1626224
415,23 years,12-09-1995,2015,Kansas,6 ft7 in/2.01m, Kelly Oubre Jr. ,205 lbs/93.0kg,https://www.nba.com/players/kelly/oubre_jr./1626162
416,35 years,02-10-1984,2003,"Tbilisi, Georgia",6 ft11 in/2.11m, Zaza Pachulia ,270 lbs/122.5kg,https://www.nba.com/players/zaza/pachulia/2585
417,24 years,03/15/1995,2014,Duke,6 ft8 in/2.03m, Jabari Parker ,245 lbs/111.1kg,https://www.nba.com/players/jabari/parker/203953
418,30 years,10/25/1988,2011,Florida,6 ft10 in/2.08m, Chandler Parsons ,230 lbs/104.3kg,https://www.nba.com/players/chandler/parsons/202718
419,22 years,11-04-1996,—,Villanova University,6 ft7 in/2.01m, Eric Paschall ,254 lbs/115.2kg,https://www.nba.com/players/eric/paschall/1629672
420,30 years,03/14/1989,2010,Kentucky,6 ft9 in/2.06m, Patrick Patterson ,230 lbs/104.3kg,https://www.nba.com/players/patrick/patterson/202335
421,34 years,05-06-1985,2005,Wake Forest,6 ft0 in/1.83m, Chris Paul ,175 lbs/79.4kg,https://www.nba.com/players/chris/paul/101108
422,25 years,02/22/1994,2014,Louisana-Lafayette,6 ft4 in/1.93m, Elfrid Payton ,185 lbs/83.9kg,https://www.nba.com/players/elfrid/payton/203901
423,26 years,02-03-1993,—,Iona,6 ft11 in/2.11m, Norvel Pelle ,216 lbs/98.0kg,https://www.nba.com/players/norvel/pelle/203658
424,25 years,08-10-1993,—,West Virginia,6 ft3 in/1.9m, Tarik Phillip ,195 lbs/88.5kg,https://www.nba.com/players/tarik/phillip/1629341
425,23 years,11-05-1995,2018,University of North Carolina at Cha,6 ft6 in/1.98m, Theo Pinson ,218 lbs/98.9kg,https://www.nba.com/players/theo/pinson/1629033
426,29 years,03-05-1990,2013,Duke,6 ft11 in/2.11m, Mason Plumlee ,235 lbs/106.6kg,https://www.nba.com/players/mason/plumlee/203486
427,30 years,09-01-1988,2012,Duke,6 ft11 in/2.11m, Miles Plumlee ,249 lbs/112.9kg,https://www.nba.com/players/miles/plumlee/203101
428,23 years,10/15/1995,2016,Utah,7 ft0 in/2.13m, Jakob Poeltl ,230 lbs/104.3kg,https://www.nba.com/players/jakob/poeltl/1627751
429,23 years,10/17/1995,—,—,7 ft0 in/2.13m, Vincent Poirier ,255 lbs/115.7kg,https://www.nba.com/players/vincent/poirier/1629738
430,31 years,03-10-1988,2010,Washington,6 ft7 in/2.01m, Quincy Pondexter ,230 lbs/104.3kg,https://www.nba.com/players/quincy/pondexter/202347
431,21 years,06/29/1998,—,St. John's University,6 ft1 in/1.85m, Shamorie Ponds ,180 lbs/81.6kg,https://www.nba.com/players/shamorie/ponds/1629044
432,20 years,06/19/1999,—,University of Michigan,6 ft5 in/1.96m, Jordan Poole ,191 lbs/86.6kg,https://www.nba.com/players/jordan/poole/1629673
433,19 years,05-04-2000,—,University of Southern California,6 ft6 in/1.98m, Kevin Porter Jr. ,216 lbs/98.0kg,https://www.nba.com/players/kevin/porter_jr./1629645
434,21 years,06/29/1998,—,University of Missouri,6 ft10 in/2.08m, Michael Porter Jr. ,210 lbs/95.3kg,https://www.nba.com/players/michael/porter_jr./1629008
435,26 years,06-03-1993,2013,Georgetown,6 ft8 in/2.03m, Otto Porter Jr. ,198 lbs/89.8kg,https://www.nba.com/players/otto/porter_jr./203490
436,24 years,02-10-1995,2015,Arkansas,6 ft11 in/2.11m, Bobby Portis ,250 lbs/113.4kg,https://www.nba.com/players/bobby/portis/1626171
437,23 years,08-02-1995,2015,,7 ft3 in/2.21m, Kristaps Porzingis ,240 lbs/108.9kg,https://www.nba.com/players/kristaps/porzingis/204001
438,28 years,07/20/1991,2014,Stanford,6 ft11 in/2.11m, Dwight Powell ,240 lbs/108.9kg,https://www.nba.com/players/dwight/powell/203939
439,26 years,05/25/1993,2015,UCLA,6 ft4 in/1.93m, Norman Powell ,215 lbs/97.5kg,https://www.nba.com/players/norman/powell/1626181
440,25 years,09-06-1993,2016,Kentucky,6 ft9 in/2.06m, Alex Poythress ,235 lbs/106.6kg,https://www.nba.com/players/alex/poythress/1627816
441,25 years,03/22/1994,2016,Baylor,6 ft8 in/2.03m, Taurean Prince ,220 lbs/99.8kg,https://www.nba.com/players/taurean/prince/1627752
442,22 years,02-04-1997,2017,"University of California, Berkeley",6 ft10 in/2.08m, Ivan Rabb ,220 lbs/99.8kg,https://www.nba.com/players/ivan/rabb/1628397
443,24 years,11/29/1994,2014,Kentucky,6 ft9 in/2.06m, Julius Randle ,250 lbs/113.4kg,https://www.nba.com/players/julius/randle/203944
444,19 years,09-01-1999,—,Duke University,6 ft8 in/2.03m, Cameron Reddish ,208 lbs/94.3kg,https://www.nba.com/players/cameron/reddish/1629629
445,35 years,06/24/1984,2006,Duke,6 ft4 in/1.93m, JJ Redick ,200 lbs/90.7kg,https://www.nba.com/players/jj/redick/200755
446,24 years,06-11-1995,2017,Miami,6 ft5 in/1.96m, Davon Reed ,208 lbs/94.3kg,https://www.nba.com/players/davon/reed/1628432
447,24 years,02-07-1995,2018,Tulane University,6 ft8 in/2.03m, Cameron Reynolds ,225 lbs/102.1kg,https://www.nba.com/players/cameron/reynolds/1629244
448,25 years,09/15/1993,2015,Tennessee,6 ft6 in/1.98m, Josh Richardson ,200 lbs/90.7kg,https://www.nba.com/players/josh/richardson/1626196
449,26 years,08-01-1992,2012,Duke,6 ft4 in/1.93m, Austin Rivers ,200 lbs/90.7kg,https://www.nba.com/players/austin/rivers/203085
450,27 years,12-04-1991,2013,Colorado,6 ft7 in/2.01m, Andre Roberson ,210 lbs/95.3kg,https://www.nba.com/players/andre/roberson/203460
451,25 years,01-08-1994,2014,Michigan,6 ft6 in/1.98m, Glenn Robinson III ,222 lbs/100.7kg,https://www.nba.com/players/glenn/robinson_iii/203922
452,25 years,04/22/1994,2018,Michigan,6 ft8 in/2.03m, Duncan Robinson ,210 lbs/95.3kg,https://www.nba.com/players/duncan/robinson/1629130
453,22 years,02/22/1997,2018,Boston College,6 ft5 in/1.96m, Jerome Robinson ,190 lbs/86.2kg,https://www.nba.com/players/jerome/robinson/1629010
454,21 years,12-10-1997,—,Virginia Tech,6 ft2 in/1.88m, Justin Robinson ,195 lbs/88.5kg,https://www.nba.com/players/justin/robinson/1629620
455,21 years,04-01-1998,2018,Western Kentucky University,7 ft1 in/2.16m, Mitchell Robinson ,240 lbs/108.9kg,https://www.nba.com/players/mitchell/robinson/1629011
456,21 years,02-03-1998,—,University of Nebraska?Lincoln,6 ft8 in/2.03m, Isaiah Roby ,214 lbs/97.1kg,https://www.nba.com/players/isaiah/roby/1629676
457,33 years,02/22/1986,2006,,6 ft1 in/1.85m, Rajon Rondo ,186 lbs/84.4kg,https://www.nba.com/players/rajon/rondo/200765
458,30 years,10-04-1988,2008,Memphis,6 ft3 in/1.9m, Derrick Rose ,200 lbs/90.7kg,https://www.nba.com/players/derrick/rose/201565
459,28 years,02-05-1991,2012,Washington,6 ft7 in/2.01m, Terrence Ross ,206 lbs/93.4kg,https://www.nba.com/players/terrence/ross/203082
460,25 years,03/17/1994,2015,Louisville,6 ft1 in/1.85m, Terry Rozier ,190 lbs/86.2kg,https://www.nba.com/players/terry/rozier/1626179
461,28 years,10/21/1990,2011,,6 ft4 in/1.93m, Ricky Rubio ,190 lbs/86.2kg,https://www.nba.com/players/ricky/rubio/201937
462,23 years,02/23/1996,2015,Ohio State,6 ft5 in/1.96m, D'Angelo Russell ,198 lbs/89.8kg,https://www.nba.com/players/d'angelo/russell/1626156
463,23 years,05-03-1996,2016,Gonzaga,6 ft11 in/2.11m, Domantas Sabonis ,240 lbs/108.9kg,https://www.nba.com/players/domantas/sabonis/1627734
464,19 years,01-09-2000,—,,6 ft11 in/2.11m, Luka Samanic ,227 lbs/103.0kg,https://www.nba.com/players/luka/samanic/1629677
465,22 years,05-01-1997,2018,Louisiana State University,6 ft5 in/1.96m, Brandon Sampson ,184 lbs/83.5kg,https://www.nba.com/players/brandon/sampson/1629102
466,25 years,04-08-1994,2016,,6 ft10 in/2.08m, Dario Saric ,223 lbs/101.2kg,https://www.nba.com/players/dario/saric/203967
467,27 years,10/30/1991,2016,,6 ft7 in/2.01m, Tomas Satoransky ,210 lbs/95.3kg,https://www.nba.com/players/tomas/satoransky/203107
468,22 years,03/30/1997,—,University of Tennessee,6 ft5 in/1.96m, Admiral Schofield ,241 lbs/109.3kg,https://www.nba.com/players/admiral/schofield/1629678
469,25 years,09/15/1993,2013,,6 ft1 in/1.85m, Dennis Schroder ,172 lbs/78.0kg,https://www.nba.com/players/dennis/schroder/203471
470,31 years,07/16/1988,2012,Virginia,6 ft8 in/2.03m, Mike Scott ,237 lbs/107.5kg,https://www.nba.com/players/mike/scott/203118
471,35 years,05-02-1984,2006,,6 ft7 in/2.01m, Thabo Sefolosha ,220 lbs/99.8kg,https://www.nba.com/players/thabo/sefolosha/200757
472,24 years,09/30/1994,2016,Kansas,6 ft5 in/1.96m, Wayne Selden ,230 lbs/104.3kg,https://www.nba.com/players/wayne/selden/1627782
473,20 years,01-04-1999,2018,University of Alabama,6 ft2 in/1.88m, Collin Sexton ,190 lbs/86.2kg,https://www.nba.com/players/collin/sexton/1629012
474,22 years,03/13/1997,2018,Wichita State University,6 ft5 in/1.96m, Landry Shamet ,188 lbs/85.3kg,https://www.nba.com/players/landry/shamet/1629013
475,23 years,07/26/1995,—,Iowa State University,6 ft5 in/1.96m, Marial Shayok ,196 lbs/88.9kg,https://www.nba.com/players/marial/shayok/1629621
476,29 years,06/26/1990,2011,Georgia Tech,6 ft5 in/1.96m, Iman Shumpert ,215 lbs/97.5kg,https://www.nba.com/players/iman/shumpert/202697
477,25 years,04-02-1994,2016,New Mexico State,6 ft9 in/2.06m, Pascal Siakam ,230 lbs/104.3kg,https://www.nba.com/players/pascal/siakam/1627783
478,22 years,09/19/1996,—,University of South Carolina,6 ft9 in/2.06m, Chris Silva ,225 lbs/102.1kg,https://www.nba.com/players/chris/silva/1629735
479,23 years,07/20/1996,2017,Louisiana State,6 ft10 in/2.08m, Ben Simmons ,230 lbs/104.3kg,https://www.nba.com/players/ben/simmons/1627732
480,20 years,06-08-1999,2018,,6 ft4 in/1.93m, Anfernee Simons ,185 lbs/83.9kg,https://www.nba.com/players/anfernee/simons/1629014
481,19 years,06-10-2000,—,,6 ft8 in/2.03m, Deividas Sirvydis ,190 lbs/86.2kg,https://www.nba.com/players/deividas/sirvydis/1629686
482,18 years,08/18/2000,—,,6 ft9 in/2.06m, Alen Smailagic ,216 lbs/98.0kg,https://www.nba.com/players/alen/smailagic/1629346
483,25 years,03-06-1994,2014,Oklahoma State,6 ft4 in/1.93m, Marcus Smart ,220 lbs/99.8kg,https://www.nba.com/players/marcus/smart/203935
484,21 years,11/25/1997,2017,North Carolina State,6 ft3 in/1.9m, Dennis Smith Jr. ,195 lbs/88.5kg,https://www.nba.com/players/dennis/smith_jr./1628372
485,31 years,07-05-1988,2010,Wake Forest,6 ft0 in/1.83m, Ish Smith ,175 lbs/79.4kg,https://www.nba.com/players/ish/smith/202397
486,20 years,06-04-1999,2018,Texas Tech University,6 ft4 in/1.93m, Zhaire Smith ,199 lbs/90.3kg,https://www.nba.com/players/zhaire/smith/1629015
487,27 years,11-10-1991,2013,,6 ft7 in/2.01m, Tony Snell ,213 lbs/96.6kg,https://www.nba.com/players/tony/snell/203503
488,22 years,03-11-1997,2018,Louisville,6 ft10 in/2.08m, Ray Spalding ,215 lbs/97.5kg,https://www.nba.com/players/ray/spalding/1629034
489,22 years,07/21/1997,2018,Villanova University,6 ft9 in/2.06m, Omari Spellman ,245 lbs/111.1kg,https://www.nba.com/players/omari/spellman/1629016
490,25 years,10-07-1993,2014,Michigan,6 ft6 in/1.98m, Nik Stauskas ,205 lbs/93.0kg,https://www.nba.com/players/nik/stauskas/203917
491,28 years,09-05-1990,2010,Cincinnati,6 ft6 in/1.98m, Lance Stephenson ,230 lbs/104.3kg,https://www.nba.com/players/lance/stephenson/202362
492,23 years,12/31/1995,2017,Xavier,6 ft6 in/1.98m, Edmond Sumner ,176 lbs/79.8kg,https://www.nba.com/players/edmond/sumner/1628410
493,22 years,04/18/1997,2017,Purdue,6 ft9 in/2.06m, Caleb Swanigan ,250 lbs/113.4kg,https://www.nba.com/players/caleb/swanigan/1628403
494,21 years,03-03-1998,2017,Duke,6 ft8 in/2.03m, Jayson Tatum ,208 lbs/94.3kg,https://www.nba.com/players/jayson/tatum/1628369
495,31 years,06-10-1988,2009,Wake Forest,6 ft2 in/1.88m, Jeff Teague ,195 lbs/88.5kg,https://www.nba.com/players/jeff/teague/201952
496,33 years,05-08-1986,2009,Louisiana State,6 ft6 in/1.98m, Garrett Temple ,195 lbs/88.5kg,https://www.nba.com/players/garrett/temple/202066
497,24 years,02-10-1995,2018,—,6 ft3 in/1.9m, Jared Terrell ,227 lbs/103.0kg,https://www.nba.com/players/jared/terrell/1629123
498,27 years,04-04-1992,2017,,6 ft8 in/2.03m, Daniel Theis ,243 lbs/110.2kg,https://www.nba.com/players/daniel/theis/1628464
499,30 years,02-07-1989,2011,Washington,5 ft9 in/1.75m, Isaiah Thomas ,185 lbs/83.9kg,https://www.nba.com/players/isaiah/thomas/202738
500,23 years,05-08-1996,2018,Creighton University,6 ft3 in/1.9m, Khyri Thomas ,210 lbs/95.3kg,https://www.nba.com/players/khyri/thomas/1629017
501,31 years,04/24/1988,2011,Duke,6 ft8 in/2.03m, Lance Thomas ,240 lbs/108.9kg,https://www.nba.com/players/lance/thomas/202498
502,29 years,02-08-1990,2011,Washington State,6 ft7 in/2.01m, Klay Thompson ,215 lbs/97.5kg,https://www.nba.com/players/klay/thompson/202691
503,28 years,03/13/1991,2011,Texas,6 ft10 in/2.08m, Tristan Thompson ,238 lbs/108.0kg,https://www.nba.com/players/tristan/thompson/202684
504,24 years,11/15/1994,2017,South Carolina,6 ft5 in/1.96m, Sindarius Thornwell ,215 lbs/97.5kg,https://www.nba.com/players/sindarius/thornwell/1628414
505,22 years,03-04-1997,—,University of Washington,6 ft5 in/1.96m, Matisse Thybulle ,200 lbs/90.7kg,https://www.nba.com/players/matisse/thybulle/1629680
506,34 years,06-01-1985,2008,Creighton,6 ft8 in/2.03m, Anthony Tolliver ,250 lbs/113.4kg,https://www.nba.com/players/anthony/tolliver/201229
507,23 years,11/15/1995,2015,Kentucky,7 ft0 in/2.13m, Karl-Anthony Towns ,248 lbs/112.5kg,https://www.nba.com/players/karl-anthony/towns/1626157
508,20 years,01/18/1999,2018,Duke University,6 ft6 in/1.98m, Gary Trent Jr. ,205 lbs/93.0kg,https://www.nba.com/players/gary/trent_jr./1629018
509,23 years,01/17/1996,2018,University of Arizona,6 ft5 in/1.96m, Allonzo Trier ,200 lbs/90.7kg,https://www.nba.com/players/allonzo/trier/1629019
510,34 years,05-05-1985,2006,Texas,6 ft6 in/1.98m, PJ Tucker ,245 lbs/111.1kg,https://www.nba.com/players/pj/tucker/200782
511,30 years,10/27/1988,2010,Ohio State,6 ft7 in/2.01m, Evan Turner ,220 lbs/99.8kg,https://www.nba.com/players/evan/turner/202323
512,23 years,03/24/1996,2015,Texas,6 ft11 in/2.11m, Myles Turner ,250 lbs/113.4kg,https://www.nba.com/players/myles/turner/1626167
513,32 years,05/20/1987,2010,Baylor,6 ft10 in/2.08m, Ekpe Udoh ,245 lbs/111.1kg,https://www.nba.com/players/ekpe/udoh/202327
514,27 years,05-06-1992,2012,,7 ft0 in/2.13m, Jonas Valanciunas ,265 lbs/120.2kg,https://www.nba.com/players/jonas/valanciunas/202685
515,25 years,11/16/1993,2016,Michigan State,6 ft6 in/1.98m, Denzel Valentine ,210 lbs/95.3kg,https://www.nba.com/players/denzel/valentine/1627756
516,20 years,04-03-1999,2018,University of Kentucky,6 ft9 in/2.06m, Jarred Vanderbilt ,214 lbs/97.1kg,https://www.nba.com/players/jarred/vanderbilt/1629020
517,25 years,02/25/1994,2016,Wichita State,6 ft0 in/1.83m, Fred VanVleet ,195 lbs/88.5kg,https://www.nba.com/players/fred/vanvleet/1627832
518,28 years,10/24/1990,2011,USC,7 ft0 in/2.13m, Nikola Vucevic ,260 lbs/117.9kg,https://www.nba.com/players/nikola/vucevic/202696
519,22 years,11/20/1996,—,Kansas State,6 ft10 in/2.08m, Dean Wade ,228 lbs/103.4kg,https://www.nba.com/players/dean/wade/1629731
520,22 years,04/26/1997,2018,University of Michigan,6 ft11 in/2.11m, Moritz Wagner ,245 lbs/111.1kg,https://www.nba.com/players/moritz/wagner/1629021
521,27 years,12-10-1991,2012,Syracuse,6 ft4 in/1.93m, Dion Waiters ,215 lbs/97.5kg,https://www.nba.com/players/dion/waiters/203079
522,20 years,12/14/1998,2018,University of Miami,6 ft5 in/1.96m, Lonnie Walker IV ,205 lbs/93.0kg,https://www.nba.com/players/lonnie/walker_iv/1629022
523,29 years,05-08-1990,2011,Connecticut,6 ft1 in/1.85m, Kemba Walker ,184 lbs/83.5kg,https://www.nba.com/players/kemba/walker/202689
524,25 years,06-10-1994,2017,California,6 ft5 in/1.96m, Tyrone Wallace ,198 lbs/89.8kg,https://www.nba.com/players/tyrone/wallace/1627820
525,28 years,09-06-1990,2010,Kentucky,6 ft4 in/1.93m, John Wall ,210 lbs/95.3kg,https://www.nba.com/players/john/wall/202322
526,29 years,07/25/1989,2018,—,6 ft4 in/1.93m, Brad Wanamaker ,210 lbs/95.3kg,https://www.nba.com/players/brad/wanamaker/202954
527,25 years,09-05-1993,2014,North Carolina State,6 ft8 in/2.03m, T.J. Warren ,215 lbs/97.5kg,https://www.nba.com/players/t.j./warren/203933
528,27 years,12/18/1991,2018,Texas-El Paso,6 ft8 in/2.03m, Julian Washburn ,209 lbs/94.8kg,https://www.nba.com/players/julian/washburn/1627395
529,20 years,08/23/1998,—,University of Kentucky,6 ft7 in/2.01m, P.J. Washington ,236 lbs/107.0kg,https://www.nba.com/players/p.j./washington/1629023
530,24 years,10/13/1994,2018,—,6 ft9 in/2.06m, Yuta Watanabe ,205 lbs/93.0kg,https://www.nba.com/players/yuta/watanabe/1629139
531,21 years,01-10-1998,—,Louisiana State,5 ft11 in/1.8m, Tremont Waters ,172 lbs/78.0kg,https://www.nba.com/players/tremont/waters/1629682
532,22 years,09-10-1996,—,Mississippi State University,6 ft4 in/1.93m, Quinndary Weatherspoon ,207 lbs/93.9kg,https://www.nba.com/players/quinndary/weatherspoon/1629683
